label,text
1,"['accord', 'gran', 'company', 'plan', 'production', 'russia', 'company', 'grow']"
1,"['technopolis', 'plan', 'develop', 'stage', 'area', 'square', 'meter', 'order', 'host', 'company', 'work', 'computer', 'technology', 'telecommunication', 'statement', 'say']"
0,"['international', 'electronic', 'industry', 'company', 'elcoteq', 'lay', 'ten', 'employee', 'tallinn', 'facility', 'contrary', 'early', 'layoff', 'company', 'contract', 'rank', 'office', 'worker', 'daily', 'postimee', 'report']"
2,"['new', 'production', 'plant', 'company', 'increase', 'capacity', 'meet', 'expect', 'increase', 'demand', 'improve', 'use', 'raw', 'material', 'increase', 'production', 'profitability']"
2,"['accord', 'company', 'update', 'strategy', 'year', '2009', '2012', 'basware', 'target', 'long', 'term', 'net', 'sale', 'growth', 'range', '20', 'operate', 'profit', 'margin', '10', 'net', 'sale']"
2,"['financing', 'aspocomp', 'growth', 'aspocomp', 'aggressively', 'pursue', 'growth', 'strategy', 'increasingly', 'focus', 'technologically', 'demanding', 'hdi', 'print', 'circuit', 'board', 'pcb']"
2,"['quarter', '2010', 'componenta', 'net', 'sale', 'double', 'm', 'm', 'period', 'year', 'early', 'move', 'zero', 'pre', 'tax', 'profit', 'pre', 'tax', 'loss', 'm']"
2,"['quarter', '2010', 'net', 'sale', 'increase', 'eur', 'mn', 'operating', 'profit', 'eur', 'mn']"
2,"['operating', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', '2007', 'represent', 'net', 'sale']"
2,"['operating', 'profit', 'total', 'eur', 'mn', 'eur', 'mn', '2007', 'represent', 'net', 'sale']"
2,"['teliasonera', 'tlsn', 'say', 'offer', 'line', 'strategy', 'increase', 'ownership', 'core', 'business', 'holding', 'strengthen', 'eesti', 'telekom', 'offering', 'customer']"
2,"['stora', 'enso', 'norske', 'skog', 'm', 'real', 'upm', 'kymmene', 'credit', 'suisse', 'boston', 'cfsb', 'raise', 'fair', 'value', 'share', 'large', 'nordic', 'forestry', 'group']"
2,"['purchase', 'agreement', 'ton', 'gasoline', 'delivery', 'hamina', 'terminal', 'finland', 'sign', 'neste', 'oil', 'oyj', 'average', 'platt', 'index', 'september', 'plus', 'dollar', 'month']"
2,"['finnish', 'talentum', 'report', 'operating', 'profit', 'increase', 'eur', 'mn', '2005', 'eur', 'mn', '2004', 'net', 'sale', 'total', 'eur', 'mn', 'eur', 'mn']"
2,"['clothing', 'retail', 'chain', 'sale', 'increase', '8', 'eur', 'mn', 'operating', 'profit', 'rise', 'eur', 'mn', 'eur', 'mn', '2004']"
2,"['consolidated', 'net', 'sale', 'increase', '16', 'reach', 'm', 'operating', 'profit', 'amount', 'm', 'compare', 'loss', 'm', 'prior', 'year', 'period']"
2,"['foundry', 'division', 'report', 'sale', 'increase', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', '2006', 'sale', 'machine', 'shop', 'division', 'increase', 'eur', 'mn', 'eur', 'mn', 'corresponding', 'period', '2006']"
2,"['helsinki', 'afx', 'share', 'close', 'higher', 'lead', 'nokia', 'announce', 'plan', 'team', 'sanyo', 'manufacture', '3', 'g', 'handset', 'nokian', 'tyre', 'fourth', 'quarter', 'earning', 'report', 'beat', 'analyst', 'expectation', 'dealer', 'say']"
2,"['incap', 'contract', 'manufacturing', 'services', 'pvt', 'ltd', 'subsidiary', 'incap', 'corporation', 'finland', 'plan', 'double', 'revenue', '2007', '2008']"
